KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;7068987005;;Bio Hipp Trinkspass Meliss.Apf.330ml DPG;36 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;2;WC Fr.Kr.Aktiv Kloropa 6f.108x4x50g DP;108 ST;4;;;;4,09;5,49;11;5,39;10;5,29;8;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Duftspüler Lemon 4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Pronat.Minze Eukaly.4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Duftspüler Berlin 4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Duftspül.Kopenhagen 4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Duftspüler Prag 4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7088558005;;WC Fr.Kr.Akt.Duftspüler Rom 4x50g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;3643479002;0;Mep.Brotdose campus animal friends 400ml;2 KT;432;;;;4,486;9,99;47;9,99;47;9,99;47;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6659560001;2;Mep.Campus Paw Patrol Pups 3f.24ST DP;1 DP;56;;;;101,672;231,76;48;231,76;48;231,76;48;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6659560001;;Mep.Trinkflasche Pop-Up Paw Patrol 400ml;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6659560001;;Mep.Fruchtbox Campus P.Patrol 6,7x10,4cm;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6659560001;;Mep.Brotdose Campus Pow Patrol Pups;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6170295002;8;Mep.Trinkflasche Pop-Up Paw Patrol 400ml;2 KT;768;;;;4,569;12,99;58;12,99;58;12,99;58;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6170815000;2;Mep.Brotdose Campus Pow Patrol Pups;2 KT;360;;;;4,359;10,99;53;10,99;53;10,99;53;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6213567000;2;Mep.Fruchtbox Campus P.Patrol 6,7x10,4cm;2 ST;0;;;;3,781;8,99;50;8,99;50;8,99;50;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6680855000;4;Mep.Campus 3f.24ST DP;1 DP;56;;;;101,672;231,76;48;231,76;48;231,76;48;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6680855000;;Mep.Brotdose Campus Stitch;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
