KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
27;7080252006;;Pickerd Dek.Erdbeeren gehackt 15g;7 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7080252006;;Pickerd Dek.Caramel Haselnuss-Krokant50g;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7080252006;;Pickerd Black Mini-Cookies 50g;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7080252006;;Pickerd Mini-Marshmallows bunt 25g;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;2310235004;7;G&G Eistee Zitrone 40x6x1,5l DPG DP;40 KOA;2;98,04;;;103,2;189,6;38;189,6;38;189,6;38;L;EK;100;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7146177005;1;Joonys Natural Soda 4f.96x0,33l DPG DP;96 ST;4;;;;0,935;1,69;34;1,59;30;1,49;25;L;EK;132;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7146177005;;Joonys Natural Soda Zitrone 0,33l DPG;24 ST;0;;;;;;;;;;;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7146177005;;Joonys Natural Soda Grapefruit 0,33l DPG;24 ST;0;;;;;;;;;;;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7146177005;;Joonys Natural Soda Maracuja 0,33l DPG;24 ST;0;;;;;;;;;;;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7146177005;;Joonys Natural Soda Pfirsich 0,33l DPG;24 ST;0;;;;;;;;;;;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;5;Siku Aktion 15f.200ST DP;1 DP;0;;;;391,2;758,1;39;758,1;39;758,1;39;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1013 Nahverkehrszug 1:87;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1075 LKW mit Kippmulde 1:55;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
